Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP
United States,"$27,720,700,000,000",27.721 trillion,2.89%,343477335,"$80,706",26.11%
China,"$17,794,800,000,000",17.795 trillion,5.25%,1422584933,"$12,509",16.76%
Germany,"$4,525,700,000,000",4.526 trillion,-0.27%,84548231,"$53,528",4.26%
Japan,"$4,204,490,000,000",4.204 trillion,1.68%,124370947,"$33,806",3.96%
India,"$3,567,550,000,000",3.568 trillion,8.15%,1438069596,"$2,481",3.36%
United Kingdom,"$3,380,850,000,000",3.381 trillion,0.34%,68682962,"$49,224",3.18%
France,"$3,051,830,000,000",3.052 trillion,0.94%,66438822,"$45,934",2.87%
Italy,"$2,300,940,000,000",2.301 trillion,0.70%,59499453,"$38,672",2.17%
Brazil,"$2,173,670,000,000",2.174 trillion,2.91%,211140729,"$10,295",2.05%
Canada,"$2,142,470,000,000",2.142 trillion,1.25%,39299105,"$54,517",2.02%
Russia,"$2,021,420,000,000",2.021 trillion,3.60%,145440500,"$13,899",1.90%
Mexico,"$1,789,110,000,000",1.789 trillion,3.20%,129739759,"$13,790",1.69%
Australia,"$1,728,060,000,000",1.728 trillion,3.44%,26451124,"$65,330",1.63%
South Korea,"$1,712,790,000,000",1.713 trillion,1.36%,51748739,"$33,098",1.61%
Spain,"$1,620,090,000,000",1.62 trillion,2.68%,47911579,"$33,814",1.53%
Indonesia,"$1,371,170,000,000",1.371 trillion,5.05%,281190067,"$4,876",1.29%
Netherlands,"$1,154,360,000,000",1.154 trillion,0.07%,18092524,"$63,803",1.09%
Turkey,"$1,118,250,000,000",1.118 trillion,5.11%,87270501,"$12,814",1.05%
Saudi Arabia,"$1,067,580,000,000",1.068 trillion,-0.76%,33264292,"$32,094",1.01%
Switzerland,"$884,940,000,000",884.94 billion,0.72%,8870561,"$99,761",0.83%
Poland,"$809,201,000,000",809.201 billion,0.14%,38762844,"$20,876",0.76%
Argentina,"$646,075,000,000",646.075 billion,-1.61%,45538401,"$14,187",0.61%
Belgium,"$644,783,000,000",644.783 billion,1.25%,11712893,"$55,049",0.61%
Sweden,"$584,960,000,000",584.96 billion,-0.31%,10551494,"$55,439",0.55%
Ireland,"$551,395,000,000",551.395 billion,-5.53%,5196630,"$106,106",0.52%
Thailand,"$514,969,000,000",514.969 billion,1.89%,71702435,"$7,182",0.49%
United Arab Emirates,"$514,130,000,000",514.13 billion,3.62%,10642081,"$48,311",0.48%
Israel,"$513,611,000,000",513.611 billion,2.42%,9256314,"$55,488",0.48%
Austria,"$511,685,000,000",511.685 billion,-0.95%,9130429,"$56,042",0.48%
Singapore,"$501,428,000,000",501.428 billion,1.07%,5789090,"$86,616",0.47%
Norway,"$485,311,000,000",485.311 billion,0.48%,5519167,"$87,932",0.46%
Bangladesh,"$437,415,000,000",437.415 billion,5.78%,171466990,"$2,551",0.41%
Philippines,"$437,146,000,000",437.146 billion,5.55%,114891199,"$3,805",0.41%
Vietnam,"$429,717,000,000",429.717 billion,5.05%,100352192,"$4,282",0.40%
Denmark,"$407,092,000,000",407.092 billion,2.50%,5948136,"$68,440",0.38%
Iran,"$404,626,000,000",404.626 billion,5.04%,90608707,"$4,466",0.38%
Malaysia,"$399,705,000,000",399.705 billion,3.56%,35126298,"$11,379",0.38%
Egypt,"$396,002,000,000",396.002 billion,3.76%,114535772,"$3,457",0.37%
Hong Kong,"$380,812,000,000",380.812 billion,3.28%,7442734,"$51,166",0.36%
South Africa,"$380,699,000,000",380.699 billion,0.70%,63212384,"$6,023",0.36%
Nigeria,"$363,846,000,000",363.846 billion,2.86%,227882945,"$1,597",0.34%
